%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1711478709278684965,1182,1711478709278456687,world,-1.0110110096478333,0.1810385815420836,0.9626736451276874,0.0,0.0,-0.7807186303625435,0.624882725161157
1711478709298863018,1183,1711478709298642396,world,-1.0080844826441453,0.17467505924477159,0.962452406463705,0.0,0.0,-0.7809250431519893,0.6246247489317596
1711478709318761450,1184,1711478709318458557,world,-0.9993159275083796,0.15565477315808365,0.9616650956344213,0.0,0.0,-0.7815995194076073,0.6237805633889191
1711478709338774414,1185,1711478709338508129,world,-0.9935274765198235,0.14313756592577445,0.9610415182093341,0.0,0.0,-0.7820927378529057,0.6231620570908872
1711478709358974971,1186,1711478709358479022,world,-0.9877722874399947,0.1307236114207263,0.9603380456436026,0.0,0.0,-0.7826222905648766,0.6224968677117868
1711478709378661107,1187,1711478709378471851,world,-0.9820567081569977,0.11842668433666198,0.9595555535589069,0.0,0.0,-0.7831878942531101,0.6217851094191459
1711478709399310498,1188,1711478709398678302,world,-0.9763716640016135,0.10622739740637346,0.9586927560195027,0.0,0.0,-0.783790807107805,0.6210249356453375
1711478709418735857,1189,1711478709418529033,world,-0.9707335873614369,0.09416111791592505,0.9577521854852957,0.0,0.0,-0.7844295979666724,0.6202178696505323
1711478709438698453,1190,1711478709438465595,world,-0.9651555329820429,0.08225566605315564,0.9567366483341863,0.0,0.0,-0.7851028035313399,0.6193654719850231
1711478709458766740,1191,1711478709458515167,world,-0.9595964706173004,0.07042362531506106,0.9556385815654836,0.0,0.0,-0.7858157306772939,0.6184606999802903
1711478709478738463,1192,1711478709478470325,world,-0.9540911650199629,0.05873923402097053,0.9544645286416882,0.0,0.0,-0.7865643784777563,0.6175082821387101
1711478709498889620,1193,1711478709498629331,world,-0.9486250573893137,0.04717169147886068,0.9532114424548388,0.0,0.0,-0.7873509878381543,0.6165050056165664
